Date,A_OC_GOOGLE_SHOPPING,Is_NYE,C_DIV_BUY_CONNECTEDl21_0p0_0d0_0,C_DIV_BUY_ESSENTIALSl21_0p0_0d0_12,C_DIV_BUY_PREMIUMl21_0p0_0d0_0,C_DIV_BUY_SSl21_0p0_0d0_06,C_DIV_CONN_DATAl21_0p0_0d0_06,C_DIV_CONN_REMOTEl21_0p0_0d0_12,C_DIV_CONN_TRYl21_0p0_0d0_12,C_DIV_GETNOW_CONNl21_0p0_0d0_12,C_DIV_GETNOW_ESSl21_0p0_0d0_06,C_DIV_GETNOW_PREMl21_0p0_0d0_06,C_DIV_GETNOW_SSl21_0p0_0d0_12,C_PP_PKG_APP_ACCESSl21_0p0_0d0_06,C_PP_PKG_CONNECTEDl21_0p0_0d0_0,C_PP_PKG_ESSl21_0p0_0d0_12,C_PP_PKG_PREMl21_0p0_0d0_0,C_PP_PKG_REMOTEl21_0p0_0d0_0,C_PP_PKG_SCl21_0p0_0d0_06,C_PP_PKG_SSl21_0p0_0d0_12,DIV_GMOC_SHOP_ESSl21_0p0_0d0_0,DIV_GMOC_SHOP_SSl21_0p0_0d0_0,DIV_PKG_SS_ROADSIDEl21_0p0_0d0_06,DIV_PLANPAGE_CONNl21_0p0_0d0_0,DIV_PLANPAGE_ESSl21_0p0_0d0_06,DIV_PLANPAGE_HOMEl21_0p0_0d0_12,DIV_WYG_PPl21_0p0_0d0_0,OC_APP_Accessl21_0p0_0d0_06,OC_PAGE_ESSl21_0p0_0d0_0,OC_PAGE_PREFl21_0p0_0d0_06,OC_PAGE_PREMl21_0p0_0d0_06,SC_BUYNOWl21_0p0_0d0_12,SC_SHOPNOWl21_0p0_0d0_06
3/16/2024,654,0,-0.289264198,0.250084326,-0.318483912,0.871874805,-0.412841701,-0.442786278,-0.325004374,0.442134162,-0.88460431,-0.736985455,-0.094965324,1.853477334,0.531604561,0.14757264,-1.201867367,-0.586596552,-0.69684996,-0.49041531,1.073183596,-0.179448294,-0.698104852,-0.886666152,-0.825153632,-1.056868051,-0.439770652,-0.513843949,-0.750835962,0.001266339,-0.523694611,-0.881181876,-0.314432066
3/17/2024,523,0,-1.003691384,-1.888217916,-1.142920525,-0.315792575,-0.001790478,-0.05929652,2.534826284,0.11946713,0.252498199,-0.736985455,-0.286982479,-1.044632761,-1.282082766,-0.553811929,-1.201867367,-0.466769228,0.651693738,-0.828497207,0.971026462,-0.279980732,-0.698104852,-1.104548654,-0.86223621,-1.605906571,-1.211856315,-0.664112422,-0.901014513,0.149847943,-0.769142178,-0.977869539,-1.108435237
3/18/2024,825,0,0.535074863,0.073057125,0.299843549,0.989888265,0.42491984,-0.874212256,0.635719987,0.476248738,-0.517905571,-0.736985455,-0.395987851,-0.88961757,-0.252692661,-0.496606805,0.077128622,-0.007431152,-0.307579614,0.045964623,1.504020208,-0.118469602,-0.698104852,0.236266744,0.703659936,0.985075795,0.069343055,0.784114543,0.011045463,0.939546856,0.127766708,-0.977869539,-0.314432066
3/19/2024,739,0,1.634193612,1.619715827,0.437249651,1.700479953,0.448408481,-0.805731942,0.367610863,2.619781268,1.113735603,-0.736985455,-0.385087313,0.253900289,1.021790326,-0.357324763,0.293063009,0.05248251,-0.717703729,0.803398104,0.837778025,-0.190984804,-0.698104852,2.205589361,1.820953203,1.844502659,0.921372192,-0.35163554,-0.12081863,1.971409158,6.406480938,0.633591505,1.425617437
3/20/2024,671,0,1.579237674,0.142936283,0.574655753,0.733773946,0.056931125,0.242016861,-1.587351501,1.41439958,0.205399279,-0.736985455,0.09956734,0.545957895,0.531604561,-0.715478585,0.060518284,-0.306999462,0.999256547,0.800147317,-0.261521576,-0.064083201,-0.698104852,0.554710401,-0.152369712,1.153597882,-0.782686083,-0.250291686,-0.710544156,0.894945012,2.102435952,-0.784494213,-0.162388905
3/21/2024,1099,0,2.898180172,0.762531486,0.780764907,0.673511754,2.186567939,0.536482211,2.646538419,3.300651349,0.649474815,-0.736985455,0.429937466,1.008756872,0.923753173,-0.262811948,0.749847291,-0.107287255,0.060836963,0.465316207,2.530033169,0.001839709,-0.698104852,2.817336386,1.495397061,1.921607776,0.296550825,1.551182676,3.479803686,1.42879899,1.458763127,-0.977869539,-1.108435237
3/22/2024,1238,0,1.963929236,-0.537220857,0.98687406,1.050150458,2.315755466,0.043423951,4.020597681,2.766189657,0.175121401,-0.692716088,0.127237934,-0.087582451,-0.007599779,0.543034152,-0.263383298,-0.326970683,-0.349287151,-0.630199172,0.546852272,-0.027825601,-0.698104852,1.334059352,0.168852102,2.248275855,-0.429251774,0.770427298,0.131920882,0.890293286,0.347912671,-0.172139017,-1.15911629
3/23/2024,925,0,2.238708923,1.158513383,0.437249651,1.198295015,1.1413234,-0.703011471,0.490494212,1.49968602,0.817685245,-0.734329293,0.212765226,-0.379640057,-0.938952731,-1.357170851,-1.127120849,-0.566625332,-0.37014092,0.70587448,0.056053864,-0.138246475,-0.698104852,0.353588092,-0.254226404,2.194606401,-0.847903128,0.688012613,-0.490770668,0.117012229,-0.142058405,-0.881181876,0.530252159
3/24/2024,753,0,1.084634238,0.45040458,0.437249651,0.201457911,0.875118798,-0.613987063,0.334097223,0.861459159,-0.487627694,-0.736985455,0.060157705,-0.505449488,-0.889934155,-0.725427303,-1.426106924,-0.606567773,-1.760392155,-1.556673601,-0.428082122,-0.489285973,-0.698104852,-0.358720089,-1.129278933,0.9550209,-1.497969803,-1.672600252,-0.857059815,-0.898705846,-0.768174117,-0.977869539,-0.213069959
3/25/2024,1006,0,1.084634238,0.222132663,1.536498469,-0.109896751,0.471897122,-0.251041399,1.205451876,0.730686618,-1.072999991,-0.736985455,-0.148629507,-0.736848976,-0.448766967,-1.118401636,-0.620505554,-0.207143359,-0.453555994,-0.792738545,0.087145166,-0.090452365,-0.698104852,0.194366263,-0.217384622,2.180473445,-0.511299024,1.418387281,5.68E-05,1.724594043,0.181450113,-0.977869539,-0.263751012
