Date,A_OC_GOOGLE_SHOPPING,C_DIV_BUY_CONNECTEDl21_0p0_0d0_12,C_DIV_BUY_ESSENTIALSl21_0p0_0d0_12,C_DIV_BUY_PREMIUMl21_0p0_0d0_0,C_DIV_BUY_SSl21_0p0_0d0_12,C_DIV_CONN_DATAl21_0p0_0d0_12,C_DIV_CONN_REMOTEl21_0p0_0d0_12,C_DIV_CONN_TRYl21_0p0_0d0_06,C_DIV_GETNOW_CONNl21_0p0_0d0_0,C_DIV_GETNOW_ESSl21_0p0_0d0_06,C_DIV_GETNOW_PREMl21_0p0_0d0_06,C_DIV_GETNOW_SSl21_0p0_0d0_12,C_PP_PKG_APP_ACCESSl21_0p0_0d0_06,C_PP_PKG_CONNECTEDl21_0p0_0d0_12,C_PP_PKG_ESSl21_0p0_0d0_12,C_PP_PKG_PREMl21_0p0_0d0_06,C_PP_PKG_REMOTEl21_0p0_0d0_0,C_PP_PKG_SCl21_0p0_0d0_06,C_PP_PKG_SSl21_0p0_0d0_06,DIV_GMOC_SHOP_ESSl21_0p0_0d0_0,DIV_GMOC_SHOP_REMOTEl21_0p0_0d0_0,DIV_GMOC_SHOP_SSl21_0p0_0d0_0,DIV_PKG_HDStreamingl21_0p0_0d0_12,DIV_PKG_SS_CRASHl21_0p0_0d0_06,DIV_PKG_SS_ROADSIDEl21_0p0_0d0_0,DIV_PLANPAGE_CONNl21_0p0_0d0_0,DIV_PLANPAGE_ESSl21_0p0_0d0_0,DIV_PLANPAGE_HOMEl21_0p0_0d0_06,OC_APP_Accessl21_0p0_0d0_06,OC_PAGE_ESSl21_0p0_0d0_06,OC_PAGE_PREFl21_0p0_0d0_06,OC_PAGE_PREMl21_0p0_0d0_0,SC_BUYNOWl21_0p0_0d0_06,SC_SHOPNOWl21_0p0_0d0_12
3/10/2024,744,-1.170692221,-1.545609758,-1.007469635,-1.941056028,0.870580716,-0.561840157,0.643706224,0.017836754,-1.17531446,-0.786969156,-0.099833671,-0.488845471,0.176071824,0.098955036,-0.988123335,-0.517965127,-0.023991247,0.366682834,0.633570869,-0.955664535,-0.249068361,-0.719339936,-0.701501036,-0.738776676,-1.059304128,-1.243433749,-1.474248022,-0.894207193,-1.040373242,-0.676372047,-0.507041009,-0.862742093,0.790579703
3/11/2024,962,-0.849825349,-1.084393229,-0.586098429,-0.968064143,-0.630883633,0.097413131,1.827432747,-0.059172725,0.031809481,-0.786969156,-0.335608011,1.191548363,0.533110535,0.758033974,0.383620955,0.035254171,-0.044729443,0.980272447,1.255720931,0.042809081,-0.075566466,-0.719339936,-0.701501036,-0.738776676,-0.027952292,0.295289802,-0.527520703,-0.127269817,-0.293793806,0.045033376,-0.045185185,0.661904702,-0.225604452
3/12/2024,668,0.150037228,-0.418191576,0.537558119,0.049605941,0.731269591,0.532239767,-0.689422676,0.402884152,-0.055858738,-0.786969156,-0.371228595,0.621616673,0.414097631,0.905059275,0.565832602,-0.087683451,-0.390366048,0.84746812,1.21710472,-0.061348239,-0.10757167,-0.719339936,-0.701501036,-0.738776676,1.080111664,0.371590143,-0.081437541,-0.473666446,-0.210994408,0.66497806,-0.011057907,0.759222583,0.495558497
3/13/2024,738,0.210070385,-0.581247925,0.256643982,0.650279503,-0.243908285,0.223653122,0.017365491,0.441388892,-0.571752489,-0.786969156,-0.328823138,1.372479059,1.368060436,1.039409982,1.021934714,0.035254171,-0.411104244,1.509808689,1.551778546,0.509721204,0.091197491,-0.719339936,-0.701501036,-0.738776676,0.381179015,0.625924614,0.059292196,0.513651864,0.206646925,2.61397458,0.691964013,-0.862742093,1.413402249
3/14/2024,883,-0.624183484,1.021363044,-0.234955758,0.833956543,1.358169653,-0.51976016,0.069081699,0.556903111,1.758199028,-0.786969156,-0.323734483,1.193809997,0.880851362,1.181365445,0.271314405,-0.333558695,-0.065467639,0.121246989,1.517453026,0.186474349,-0.078935435,-0.719339936,-0.701501036,-0.738776676,0.670980357,0.269856354,-0.215864542,0.53035627,0.326327041,1.205542992,0.500851258,-0.960059973,-0.12726405
3/15/2024,708,0.00098939,0.63468656,-0.305184292,-0.143999587,2.53457471,-0.779253476,-0.79285509,0.74942681,-0.12329583,-0.786969156,-0.217720841,-0.289821706,0.668859628,1.323320909,0.020016221,-0.415517109,-0.044729443,0.876046266,1.176343164,-0.341495512,-0.149683781,-0.719339936,-0.701501036,-0.738776676,0.040236259,0.00280516,-0.656115322,-0.117012726,-0.382278375,0.317551892,0.339315477,-0.149077636,-1.143448205
3/16/2024,654,-0.274335087,0.215398807,-0.305184292,0.85381352,-0.251647792,-0.449626832,-0.269946772,0.402884152,-0.919053511,-0.786969156,-0.056580105,1.883608274,0.559144607,0.134443902,-1.195546657,-0.599923542,-0.736002653,-0.586482401,1.114128158,-0.406144883,-0.161475172,-0.719339936,-0.701501036,-0.738776676,-0.880309181,-0.861932043,-1.024872386,-0.478062343,-0.727616007,0.004225476,-0.516141616,-0.911401033,-0.422285256
3/17/2024,523,-0.990592751,-1.922968736,-1.147926704,-0.253212962,-0.019462584,-0.056880192,2.637653329,0.094846234,0.220633338,-0.786969156,-0.250797097,-1.033899191,-1.172121223,-0.580403253,-1.267743725,-0.47698592,0.605067374,-0.845366786,1.015442286,-0.653967471,-0.264228721,-0.719339936,-0.701501036,-0.738776676,-1.101921972,-0.849215319,-1.581676739,-0.629281176,-0.895182748,0.155997326,-0.71863013,-0.960059973,-1.143448205
3/18/2024,825,0.377749202,0.0383662,0.326872516,0.963026895,0.437168326,-0.891466801,0.511542583,0.518398371,-0.551521362,-0.786969156,-0.361051285,-0.877846466,-0.402256504,-0.522100117,-0.00716,-0.005725036,-0.348889655,0.069133898,1.530325096,0.434296938,-0.099149248,-0.719339936,-0.701501036,-0.738776676,0.26184905,0.803958744,1.175346738,0.82810498,0.003292768,0.962652131,0.221007581,-0.960059973,-0.422285256
3/19/2024,739,1.586692773,1.585072134,0.467329585,1.747377496,0.483605368,-0.821333473,0.373632697,2.790178018,1.083828111,-0.786969156,-0.350025867,0.273325084,0.923621624,-0.380144653,0.281300847,0.055743775,-0.756740849,0.797036097,0.886721584,0.057175608,-0.173266563,-0.719339936,-0.701501036,-0.738776676,2.264887739,1.884880247,1.911826089,-0.31482806,-0.073457026,2.016669896,6.657412146,0.661904702,1.315061847
